ref_id,source,formulation_raw,salt_components,dosage_form,form_modifier,strength_raw,strength_mg,strength_kind,unit_basis,unit_qty,price_checkable,price_ex_gst,so_number,so_date,manufacturer,marketing_company,retrieved_on,status,quarantine_reason,unit_basis_raw,raw_row
CEIL-0572,ceiling,LEVETIRACETAM,"[""LEVETIRACETAM""]",tablet,,TABLET 500 MG,[500.0],mg,tablet,1,true,13.30,1575(E),25-Mar-2026,,,2026-09-18,usable,,1 Tablet,"["""", ""572"", ""2022"", ""LEVETIRACETAM"", ""TABLET 500 MG"", ""1575(E)"", ""25-Mar-2026"", ""₹ 13.30(1 Tablet)""]"
CEIL-0573,ceiling,LEVETIRACETAM,"[""LEVETIRACETAM""]",tablet,,TABLET 250 MG,[250.0],mg,tablet,1,true,6.45,1575(E),25-Mar-2026,,,2026-09-18,usable,,1 Tablet,"["""", ""573"", ""2022"", ""LEVETIRACETAM"", ""TABLET 250 MG"", ""1575(E)"", ""25-Mar-2026"", ""₹ 6.45(1 Tablet)""]"
CEIL-0574,ceiling,LEVODOPA (A)+CARBIDOPA (B),"[""CARBIDOPA"", ""LEVODOPA""]",tablet,,TABLET 100 MG(A) + 10 MG(B),"[100.0, 10.0]",mg,tablet,1,true,1.80,1575(E),25-Mar-2026,,,2026-09-18,usable,,1 Tablet,"["""", ""574"", ""2022"", ""LEVODOPA (A)+CARBIDOPA (B)"", ""TABLET 100 MG(A) + 10 MG(B)"", ""1575(E)"", ""25-Mar-2026"", ""₹ 1.80(1 Tablet)""]"
CEIL-0575,ceiling,LEVODOPA (A)+CARBIDOPA (B),"[""CARBIDOPA"", ""LEVODOPA""]",tablet,,TABLET 100 MG(A) + 25 MG(B),"[100.0, 25.0]",mg,tablet,1,true,2.64,1575(E),25-Mar-2026,,,2026-09-18,usable,,1 Tablet,"["""", ""575"", ""2022"", ""LEVODOPA (A)+CARBIDOPA (B)"", ""TABLET 100 MG(A) + 25 MG(B)"", ""1575(E)"", ""25-Mar-2026"", ""₹ 2.64(1 Tablet)""]"
CEIL-0576,ceiling,LEVODOPA + CARBIDOPA,"[""CARBIDOPA"", ""LEVODOPA""]",tablet,,TABLET 250/25 MG,[25.0],mg,tablet,1,true,4.53,1575(E),25-Mar-2026,,,2026-09-18,usable,,1 Tablet,"["""", ""576"", ""2022"", ""LEVODOPA + CARBIDOPA"", ""TABLET 250/25 MG"", ""1575(E)"", ""25-Mar-2026"", ""₹ 4.53(1 Tablet)""]"
CEIL-0577,ceiling,LEVODOPA + CARBIDOPA,"[""CARBIDOPA"", ""LEVODOPA""]",tablet,modified_release,MODIFIED RELEASE TABLET 100/25 MG,[25.0],mg,tablet,1,true,2.86,1575(E),25-Mar-2026,,,2026-09-18,usable,,1 Tablet,"["""", ""577"", ""2022"", ""LEVODOPA + CARBIDOPA"", ""MODIFIED RELEASE TABLET 100/25 MG"", ""1575(E)"", ""25-Mar-2026"", ""₹ 2.86(1 Tablet)""]"
CEIL-0578,ceiling,LEVODOPA + CARBIDOPA,"[""CARBIDOPA"", ""LEVODOPA""]",tablet,modified_release,MODIFIED RELEASE TABLET 200/50 MG,[50.0],mg,tablet,1,true,4.84,1575(E),25-Mar-2026,,,2026-09-18,usable,,1 Tablet,"["""", ""578"", ""2022"", ""LEVODOPA + CARBIDOPA"", ""MODIFIED RELEASE TABLET 200/50 MG"", ""1575(E)"", ""25-Mar-2026"", ""₹ 4.84(1 Tablet)""]"
CEIL-0579,ceiling,LEVOFLOXACIN,"[""LEVOFLOXACIN""]",tablet,,TABLET 750 MG,[750.0],mg,tablet,1,true,12.75,1575(E),25-Mar-2026,,,2026-09-18,usable,,1 Tablet,"["""", ""579"", ""2022"", ""LEVOFLOXACIN"", ""TABLET 750 MG"", ""1575(E)"", ""25-Mar-2026"", ""₹ 12.75(1 Tablet)""]"
CEIL-0580,ceiling,LEVOFLOXACIN,"[""LEVOFLOXACIN""]",tablet,,TABLET 250 MG,[250.0],mg,tablet,1,true,4.93,1575(E),25-Mar-2026,,,2026-09-18,usable,,1 Tablet,"["""", ""580"", ""2022"", ""LEVOFLOXACIN"", ""TABLET 250 MG"", ""1575(E)"", ""25-Mar-2026"", ""₹ 4.93(1 Tablet)""]"
CEIL-0581,ceiling,LEVOFLOXACIN,"[""LEVOFLOXACIN""]",tablet,,TABLET 500 MG,[500.0],mg,tablet,1,true,9.21,1575(E),25-Mar-2026,,,2026-09-18,usable,,1 Tablet,"["""", ""581"", ""2022"", ""LEVOFLOXACIN"", ""TABLET 500 MG"", ""1575(E)"", ""25-Mar-2026"", ""₹ 9.21(1 Tablet)""]"
CEIL-0582,ceiling,LEVONORGESTREL,"[""LEVONORGESTREL""]",tablet,,TABLET 1.5 MG,[1.5],mg,tablet,1,true,77.16,1575(E),25-Mar-2026,,,2026-09-18,usable,,1 Tablet,"["""", ""582"", ""2022"", ""LEVONORGESTREL"", ""TABLET 1.5 MG"", ""1575(E)"", ""25-Mar-2026"", ""₹ 77.16(1 Tablet)""]"
CEIL-0583,ceiling,LEVOTHYROXINE,"[""LEVOTHYROXINE""]",tablet,,TABLET 88 MCG,[0.088],mg,tablet,1,true,1.69,1575(E),25-Mar-2026,,,2026-09-18,usable,,1 Tablet,"["""", ""583"", ""2022"", ""LEVOTHYROXINE"", ""TABLET 88 MCG"", ""1575(E)"", ""25-Mar-2026"", ""₹ 1.69(1 Tablet)""]"
CEIL-0584,ceiling,LEVOTHYROXINE,"[""LEVOTHYROXINE""]",tablet,,TABLET 100 MCG,[0.1],mg,tablet,1,true,1.35,1575(E),25-Mar-2026,,,2026-09-18,usable,,1 Tablet,"["""", ""584"", ""2022"", ""LEVOTHYROXINE"", ""TABLET 100 MCG"", ""1575(E)"", ""25-Mar-2026"", ""₹ 1.35(1 Tablet)""]"
CEIL-0585,ceiling,LEVOTHYROXINE,"[""LEVOTHYROXINE""]",tablet,,TABLET 112 MCG,[0.112],mg,tablet,1,true,1.70,1575(E),25-Mar-2026,,,2026-09-18,usable,,1 Tablet,"["""", ""585"", ""2022"", ""LEVOTHYROXINE"", ""TABLET 112 MCG"", ""1575(E)"", ""25-Mar-2026"", ""₹ 1.70(1 Tablet)""]"
CEIL-0586,ceiling,LEVOTHYROXINE,"[""LEVOTHYROXINE""]",tablet,,TABLET 12.5 MCG,[0.0125],mg,tablet,1,true,1.52,1575(E),25-Mar-2026,,,2026-09-18,usable,,1 Tablet,"["""", ""586"", ""2022"", ""LEVOTHYROXINE"", ""TABLET 12.5 MCG"", ""1575(E)"", ""25-Mar-2026"", ""₹ 1.52(1 Tablet)""]"
CEIL-0587,ceiling,LEVOTHYROXINE,"[""LEVOTHYROXINE""]",tablet,,TABLET 125 MCG,[0.125],mg,tablet,1,true,1.73,1575(E),25-Mar-2026,,,2026-09-18,usable,,1 Tablet,"["""", ""587"", ""2022"", ""LEVOTHYROXINE"", ""TABLET 125 MCG"", ""1575(E)"", ""25-Mar-2026"", ""₹ 1.73(1 Tablet)""]"
CEIL-0588,ceiling,LEVOTHYROXINE,"[""LEVOTHYROXINE""]",tablet,,TABLET 150 MCG,[0.15],mg,tablet,1,true,1.74,1575(E),25-Mar-2026,,,2026-09-18,usable,,1 Tablet,"["""", ""588"", ""2022"", ""LEVOTHYROXINE"", ""TABLET 150 MCG"", ""1575(E)"", ""25-Mar-2026"", ""₹ 1.74(1 Tablet)""]"
CEIL-0589,ceiling,LEVOTHYROXINE,"[""LEVOTHYROXINE""]",tablet,,TABLET 25 MCG,[0.025],mg,tablet,1,true,1.49,1575(E),25-Mar-2026,,,2026-09-18,usable,,1 Tablet,"["""", ""589"", ""2022"", ""LEVOTHYROXINE"", ""TABLET 25 MCG"", ""1575(E)"", ""25-Mar-2026"", ""₹ 1.49(1 Tablet)""]"
CEIL-0590,ceiling,LEVOTHYROXINE,"[""LEVOTHYROXINE""]",tablet,,TABLET 50 MCG,[0.05],mg,tablet,1,true,1.06,1575(E),25-Mar-2026,,,2026-09-18,usable,,1 Tablet,"["""", ""590"", ""2022"", ""LEVOTHYROXINE"", ""TABLET 50 MCG"", ""1575(E)"", ""25-Mar-2026"", ""₹ 1.06(1 Tablet)""]"
